﻿变量名,窗口约束,Radius,DTW距离,对齐路径长度,标准化DTW距离,相似度
中国:开工率:精对苯二甲酸,启用,1,12.1137,89,0.1361,中等相似
中国:开工率:对二甲苯,启用,1,13.3969,89,0.1505,中等相似
中国:开工率:聚酯产业链:聚酯,启用,1,9.1561,80,0.1145,高度相似
中国:开工率:聚酯产业链:织造业,启用,1,9.0684,80,0.1134,高度相似
中国:开工率:聚酯产业链:乙二醇(综合),启用,1,10.5308,80,0.1316,中等相似
中国:主要45港口:日均疏港量:铁矿石,启用,1,13.6142,79,0.1723,中等相似
中国:生产率:焦炉:国内独立焦化厂(230家),启用,1,12.3948,89,0.1393,中等相似
中国:生产率:焦炉:产能(>200万吨):国内独立焦化厂(230家),启用,1,13.3854,89,0.1504,中等相似
中国:开工率:螺纹钢:主要钢厂,启用,1,11.2355,89,0.1262,中等相似
中国:开工率:线材:主要钢厂,启用,1,11.9293,89,0.134,中等相似
中国:产量:冷轧板卷:主要钢厂,启用,1,6.5673,48,0.1368,中等相似
中国:产量:热轧板卷:主要钢厂,启用,1,7.0816,48,0.1475,中等相似
中国:产量:中厚板:主要钢厂,启用,1,9.796,48,0.2041,中等相似
中国:江浙地区:开工率:涤纶长丝,启用,1,10.1534,89,0.1141,高度相似
中国:装置负荷率:涤纶短纤,启用,1,10.3142,88,0.1172,高度相似
中国:开工率:聚氯乙烯:上游,启用,1,10.566,89,0.1187,高度相似
中国:开工率:苯乙烯,启用,1,11.2634,89,0.1266,中等相似
中国:产量:苯乙烯,启用,1,3.9214,14,0.2801,中等相似
中国:产量:乙烯,启用,1,4.0971,14,0.2926,中等相似
中国:开工率:纯苯:下游行业,启用,1,9.727,59,0.1649,中等相似
中国:开工率:尿素,启用,1,14.05,87,0.1615,中等相似
中国:日产量:尿素,启用,1,12.7786,75,0.1704,中等相似
中国:开工率:聚丙烯下游:塑编,启用,1,11.4568,82,0.1397,中等相似
中国:开工率:聚丙烯下游:双向拉伸聚丙烯薄膜,启用,1,12.0785,82,0.1473,中等相似
中国:开工率:聚丙烯下游:共聚注塑,启用,1,11.768,82,0.1435,中等相似
中国:开工率:聚氯乙烯,启用,1,8.1436,64,0.1272,中等相似
中国:开工率(常减压开工率):山东地炼厂,启用,1,13.3907,89,0.1505,中等相似
中国:炼油厂开工率:山东地炼,启用,1,13.0113,89,0.1462,中等相似
中国:山东地区:开工率:石油沥青装置,启用,1,11.7829,75,0.1571,中等相似
中国:产能利用率:成品油:独立炼厂,启用,1,8.4862,55,0.1543,中等相似
中国:产能利用率:成品油:主营炼厂,启用,1,7.2082,42,0.1716,中等相似
中国:开工率:产能(>200万吨):焦化企业(230家),启用,1,13.4095,89,0.1507,中等相似
中国:开工率:产能(100-200万吨):焦化企业(230家),启用,1,11.3229,89,0.1272,中等相似
中国:开工率:产能(<100万吨):焦化企业(230家),启用,1,13.6932,89,0.1539,中等相似
中国:产能利用率:水泥熟料,启用,1,10.5985,58,0.1827,中等相似
中国:日耗量:煤炭统调电厂,启用,1,8.3143,27,0.3079,中等相似
中国:日耗量:煤炭重点电厂,启用,1,7.0996,29,0.2448,中等相似
中国:南方电厂:日耗量:煤炭,启用,1,6.5893,29,0.2272,中等相似
中国:日耗量:煤炭:样本区域电厂,启用,1,6.9886,29,0.241,中等相似
中国:库存量:电解铝,启用,1,12.3767,79,0.1567,中等相似
广东:库存量:铜,启用,1,9.3538,79,0.1184,高度相似
江苏:库存量:铜,启用,1,11.5513,79,0.1462,中等相似
重庆:库存量:铜,启用,1,11.0313,76,0.1451,中等相似
天津:库存量:铜,启用,1,10.2363,74,0.1383,中等相似
中国:库容率:成品油:汽油:独立炼厂,启用,1,5.8907,13,0.4531,不相似
中国:样品库存量:成品油:汽油,启用,1,3.9738,15,0.2649,中等相似
中国:商业库存量:成品油:汽油,启用,1,3.7478,15,0.2499,中等相似
中国:商业库存库容率:成品油:汽油,启用,1,7.8028,25,0.3121,低相似
中国:开工率:汽车轮胎(全钢胎),启用,1,10.7744,89,0.1211,高度相似
中国:开工率:汽车轮胎(半钢胎),启用,1,11.8188,89,0.1328,中等相似
中国:高炉开工率(247家),启用,1,12.2287,78,0.1568,中等相似
中国:产量:钢材:重点钢铁企业,启用,1,7.5482,52,0.1452,中等相似
中国:产量:生铁:重点钢铁企业,启用,1,8.456,52,0.1626,中等相似
中国:日均产量:粗钢,启用,1,9.7229,79,0.1231,高度相似
