Date,规模以上工业增加值:当月同比,中国:日均产量:生铁:重点企业,中国:日均产量:粗钢:重点企业,重点电厂:日耗量:煤炭,中国:开工率:聚酯产业链:精对苯二甲酸,中国:开工率:聚酯产业链:对二甲苯,中国:开工率:聚酯产业链:聚酯,中国:开工率:聚酯产业链:织造业,中国:开工率:聚酯产业链:乙二醇(综合),开工率:PTA装置,中国:主要45港口:日均疏港量:铁矿石,中国:生产率:焦炉:国内独立焦化厂(230家),中国:高炉开工率(247家),中国:产量:螺纹钢:主要钢厂,中国:开工率:线材:主要钢厂,中国:产量:线材:主要钢厂,中国:产量:冷轧板卷:主要钢厂,中国:产量:热轧板卷:主要钢厂,中国:产量:中厚板:主要钢厂,中国:产量:钢材:重点钢铁企业,中国:开工率:产能(>200万吨):焦化企业(230家),中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率(常减压开工率):山东地炼厂,中国:产能利用率:成品油:独立炼厂,中国:产能利用率:成品油:主营炼厂,中国:开工率:精对苯二甲酸,中国:江浙地区:开工率:涤纶长丝,中国:装置负荷率:涤纶短纤,社会库存:PTA:期末值,港口库存:MEG(乙二醇):华东地区:期末值,聚酯瓶片:企业开工负荷:当周值,中国:产量:乙烯,中国:开工率:乙烯,PVC:开工率:当周值,工厂库存:PP粉:当周环比,库存:PP:国内:当周环比,社会库存:PVC:同比,中国:产能利用率:水泥熟料,制造业PMI,制造业PMI:生产,制造业PMI:新订单,制造业PMI:新出口订单,制造业PMI:从业人员,规模以上工业发电量:当月同比,月产量:PTA:中国:环比
2019-12-27,,,,,89.14,72.10600000000001,85.314,58.8,70.364,,305.89,76.97,76.87,,,,,,,,82.06,68.71,70.64,,,,85.76,80.82,,,,,,,-4.3297,-0.4732,,,50.2,53.2,51.2,50.3,47.3,-0.5,6.545338442
2020-01-03,,167.99,188.28,,82.655,71.68,84.2025,56.75,67.0375,,308.21,77.59,78.42,0.008872410806779918,0.017335530351778594,0.009402263109955733,,,,2113.02,83.35,69.1,,,,,84.53,80.32,,,,,,,-22.9765,-13.9989,14.945299999999996,,,,,,,,
2020-01-10,,177.02,196.78,,81.85,74.09,81.14,48.0,67.178,,302.42,75.93,77.56,-0.044157798607144194,-0.05370317452265283,-0.04257404283006938,,,,1833.06,81.16,68.1,68.01,,,,82.83,78.17,,,,,,,57.7401,11.2408,13.8184,,,,,,,,
2020-01-17,,,,,79.95,72.29,78.036,31.0,69.872,,317.15,76.23,77.56,-0.07226556913970938,-0.028842906719421357,0.009100373042636,,,,,81.85,68.91,67.33,,,0.02286152275610842,74.14,77.08,,,,,,,27.6504,-10.0773,13.7363,,,,,,,,
2020-01-24,,174.1,197.47,,81.16,69.59,76.08,10.25,71.26,,300.24,76.29,78.53,-0.01538764857359265,-0.008099782232542374,-0.011527306245088909,,,,1898.61,81.94,68.91,64.83,,,0.032264579980574304,72.89,,,,,,,,53.4792,-1.443,-2.0696000000000003,,,,,,,,
2020-01-31,,181.84,199.29,,,,,,,,,,,,,,,,,2128.33,,,,,,0.021981371749236978,,,,,,,,,-16.0878,,3.3437,,50.0,51.3,51.4,48.7,47.5,,-2.409849166
2020-02-07,,,,,80.31800000000001,69.59,68.69,5.0,71.178,,264.32,64.73,74.89,,,,75.3,338.85,,,68.61,60.36,47.76,,,-0.03315594641043251,66.43,52.97,,,,,,,291.2854,148.567,-25.7796,,,,,,,,
2020-02-14,,179.75,193.94,,75.148,70.53399999999999,65.642,6.8,74.886,,275.83,62.46,72.92,-0.06441307779578498,-0.06526251810704498,-0.14410226882932076,76.09,332.81,-0.03160968856421231,1759.04,66.45,57.53,40.94,,,-0.05443039541626771,61.2,45.19,,,,,,,21.0468,37.2478,19.942999999999998,,,,,,,,
2020-02-21,,172.75,183.49,,74.66,70.77,63.29600000000001,8.0,73.45599999999999,74.66,281.37,65.07,71.41,-0.061533850550083535,-0.04586890329501481,-0.04093316121482715,76.14,327.95,0.02069008963945862,1692.66,70.11,57.45,36.89,,,-0.01156926988098217,62.21,48.18,,,,,,,-18.4913,-4.9767,8.719,,,,,,,,
2020-02-28,,,,,77.07,70.77,64.728,26.0,68.988,77.07,296.16,70.63,71.91,-0.028387211116346123,0.06878070366140587,-0.0027831913317921675,75.92,321.05,-0.03295249435466996,,77.23,60.85,40.5,,,-0.008858325642099096,65.03,52.28,,,,,,,9.4808,-20.4401,6.1826,,35.7,27.8,29.3,28.7,31.8,,-7.001202692
2020-03-06,,171.95,180.74,,79.594,70.77,68.71000000000001,42.0,69.226,78.6,285.98,73.08,72.26,0.01623245487927516,0.010894761995516866,0.04602582239528186,77.71,316.37,0.045938565514710206,1613.18,79.47,63.72,44.69,,,0.007877933406709836,69.21,55.22,,,,,,,2.8866,-7.7666,-1.1041999999999987,,,,,,,,
2020-03-13,,169.52,180.86,,77.346,72.082,72.676,50.0,66.602,75.14999999999999,301.02,73.39,72.61,0.013603448643353389,-0.011266164042497362,-0.006676483606733896,77.96,307.18,0.019505750238209885,1676.64,80.06,64.1,48.92,,,0.008424443939226478,75.96,60.9,,,,,,,-10.2204,0.2619,0.11629999999999896,,,,,,,,
