指标名称,门类,出口依赖,上中下游,权重_2012,权重_2018,权重_2020,权重_2022,权重_2023,权重_2024,权重_2025
中国:工业增加值:规模以上工业企业:专用设备制造业:当月同比,制造业,高出口依赖,中游机械,0.032416263,0.02921425,0.031747075,0.034,0.034,0.036,0.036
中国:工业增加值:规模以上工业企业:造纸及纸制品业:当月同比,制造业,低出口依赖,中游材料,0.013027618,0.014335404,0.013445597,0.01,0.01,0.009,0.009
中国:工业增加值:规模以上工业企业:有色金属冶炼及压延加工业:当月同比,制造业,低出口依赖,中游材料,0.035681296,0.03465081,0.038756344,0.033,0.036,0.039,0.038
中国:工业增加值:规模以上工业企业:有色金属矿采选业:当月同比,采矿业,低出口依赖,上游采掘,0.007969156,0.008094208,0.008406151,0.006,0.006,0.007,0.009
中国:工业增加值:规模以上工业企业:印刷和记录媒介的复制业:当月同比,制造业,低出口依赖,下游消费,0.008462966,0.008283379,0.009566517,0.005,0.005,0.005,0.005
中国:工业增加值:规模以上工业企业:仪器仪表制造业:当月同比,制造业,高出口依赖,中游机械,0.005960832,0.008110098,0.008086678,0.01,0.01,0.011,0.011
中国:工业增加值:规模以上工业企业:医药制造业:当月同比,制造业,低出口依赖,下游消费,0.019763369,0.026840906,0.027820386,0.034,0.03,0.031,0.031
中国:工业增加值:规模以上工业企业:烟草制品业:当月同比,制造业,低出口依赖,下游消费,0.023089997,0.019121007,0.022592961,0.016,0.015,0.014,0.027
中国:工业增加值:规模以上工业企业:橡胶和塑料制品业:当月同比,制造业,高出口依赖,中游材料,0.026003238,0.024442964,0.028015899,0.021,0.021,0.022,0.023
中国:工业增加值:规模以上工业企业:文教、工美、体育和娱乐用品制造业:当月同比,制造业,高出口依赖,下游消费,0.012210477,0.010745777,0.011197449,0.008,0.008,0.008,0.009
中国:工业增加值:规模以上工业企业:通用设备制造业:当月同比,制造业,高出口依赖,中游机械,0.043104173,0.037587001,0.040218249,0.037,0.038,0.04,0.044
中国:工业增加值:规模以上工业企业:铁路、船舶、航空航天和其他运输设备制造业:当月同比,制造业,高出口依赖,下游消费,0.015175321,0.010165006,0.010449846,0.01,0.011,0.012,0.014
中国:工业增加值:规模以上工业企业:水的生产和供应业:当月同比,电力、热力、燃气及水生产和供应业,低出口依赖,上游公用,0.003771091,0.004958841,0.006643969,0.006,0.007,0.007,0.007
中国:工业增加值:规模以上工业企业:食品制造业:当月同比,制造业,低出口依赖,下游消费,0.01396475,0.013630906,0.013942728,0.019,0.016,0.017,0.016
中国:工业增加值:规模以上工业企业:石油和天然气开采业:当月同比,采矿业,低出口依赖,上游采掘,0.036157258,0.030133256,0.021950013,0.022,0.023,0.024,0.027
中国:工业增加值:规模以上工业企业:石油、煤炭及其他燃料加工业:当月同比,制造业,低出口依赖,中游材料,0.035911706,0.036502467,0.032602556,0.036,0.04,0.033,0.031
中国:工业增加值:规模以上工业企业:燃气生产和供应业:当月同比,电力、热力、燃气及水生产和供应业,低出口依赖,上游公用,0.003265325,0.004668332,0.006343447,0.01,0.013,0.012,0.008
中国:工业增加值:规模以上工业企业:汽车制造业:当月同比,制造业,低出口依赖,下游消费,0.04687365,0.053147435,0.047150489,0.056,0.064,0.071,0.065
中国:工业增加值:规模以上工业企业:其他制造业:当月同比,制造业,高出口依赖,中游材料,0.002514328,0.003288233,0.003342966,0.002,0.002,0.002,0.002
中国:工业增加值:规模以上工业企业:皮革、毛皮、羽毛及其制品和制鞋业:当月同比,制造业,高出口依赖,下游消费,0.01387619,0.010187776,0.010158729,0.009,0.007,0.007,0.007
中国:工业增加值:规模以上工业企业:农副食品加工业:当月同比,制造业,低出口依赖,下游消费,0.044556865,0.040324427,0.043824905,0.028,0.025,0.023,0.019
中国:工业增加值:规模以上工业企业:木材加工及木、竹、藤、棕、草制品业:当月同比,制造业,低出口依赖,下游消费,0.012904846,0.011321237,0.010914154,0.008,0.007,0.007,0.006
中国:工业增加值:规模以上工业企业:煤炭开采和洗选业:当月同比,采矿业,低出口依赖,上游采掘,0.053543706,0.040610411,0.038892812,0.07,0.062,0.061,0.049
中国:工业增加值:规模以上工业企业:开采专业及辅助性活动:当月同比,采矿业,低出口依赖,上游采掘,0.00278926,0.002383818,0.002767557,0.003,0.003,0.003,0.003
中国:工业增加值:规模以上工业企业:酒、饮料和精制茶制造业:当月同比,制造业,低出口依赖,下游消费,0.018281332,0.018411214,0.019145865,0.023,0.021,0.02,0.022
中国:工业增加值:规模以上工业企业:金属制品业:当月同比,制造业,高出口依赖,中游材料,0.030831434,0.039490451,0.041226172,0.03,0.029,0.031,0.032
中国:工业增加值:规模以上工业企业:金属制品、机械和设备修理业:当月同比,制造业,高出口依赖,中游机械,0.000947973,0.001445848,0.001533612,0.003,0.003,0.004,0.004
中国:工业增加值:规模以上工业企业:家具制造业:当月同比,制造业,高出口依赖,下游消费,0.007632756,0.007518762,0.007106932,0.006,0.006,0.006,0.005
中国:工业增加值:规模以上工业企业:计算机、通信和其他电子设备制造业:当月同比,制造业,高出口依赖,中游机械,0.053243046,0.053939887,0.053919865,0.099,0.105,0.109,0.108
中国:工业增加值:规模以上工业企业:化学原料及化学制品制造业:当月同比,制造业,低出口依赖,中游材料,0.061416925,0.065686762,0.059415477,0.072,0.072,0.071,0.065
中国:工业增加值:规模以上工业企业:化学纤维制造业:当月同比,制造业,低出口依赖,中游材料,0.004782608,0.00539034,0.004762913,0.004,0.005,0.005,0.005
中国:工业增加值:规模以上工业企业:黑色金属冶炼及压延加工业:当月同比,制造业,低出口依赖,中游材料,0.060100403,0.058782179,0.050656679,0.035,0.033,0.029,0.029
中国:工业增加值:规模以上工业企业:黑色金属矿采选业:当月同比,采矿业,低出口依赖,上游采掘,0.015503348,0.009177203,0.01145558,0.006,0.006,0.006,0.006
中国:工业增加值:规模以上工业企业:废弃资源综合利用业:当月同比,制造业,低出口依赖,下游消费,0.01575977,0.024075082,0.026499577,0.006,0.006,0.007,0.006
中国:工业增加值:规模以上工业企业:非金属矿物制品业:当月同比,制造业,低出口依赖,中游材料,0.056818366,0.076197323,0.074733474,0.051,0.043,0.04,0.04
中国:工业增加值:规模以上工业企业:非金属矿采选业:当月同比,采矿业,低出口依赖,上游采掘,0.010732366,0.012189888,0.013946137,0.005,0.004,0.005,0.006
中国:工业增加值:规模以上工业企业:纺织业:当月同比,制造业,高出口依赖,中游材料,0.033452638,0.022661368,0.02251366,0.019,0.017,0.017,0.018
中国:工业增加值:规模以上工业企业:纺织服装、服饰业:当月同比,制造业,高出口依赖,下游消费,0.016755107,0.013446698,0.014153962,0.011,0.01,0.01,0.01
中国:工业增加值:规模以上工业企业:电气机械及器材制造业:当月同比,制造业,高出口依赖,中游机械,0.04016304,0.040654347,0.039323342,0.063,0.067,0.067,0.069
中国:工业增加值:规模以上工业企业:电力、热力的生产和供应业:当月同比,电力、热力、燃气及水生产和供应业,低出口依赖,上游公用,0.060585208,0.0681847,0.070769276,0.072,0.079,0.073,0.076
