Date,Nowcast值,规模以上工业增加值:当月同比
2020-01-03,3.0932593000425372,
2020-01-10,2.71801214174039,
2020-01-17,2.844852543755831,
2020-01-24,2.672429045806363,
2020-01-31,3.4592577402532694,
2020-02-07,3.1505081009278286,
2020-02-14,2.4909204747742746,
2020-02-21,2.279468540974941,
2020-02-28,2.1476766387224764,
2020-03-06,3.140561940116129,
2020-03-13,2.3684526728716646,
2020-03-20,2.834247900800012,
2020-03-27,2.018712264666955,-1.1
2020-04-03,2.373767286358791,
2020-04-10,2.6800994495798127,
2020-04-17,3.3522796973358453,
2020-04-24,3.120262410007907,3.9
2020-05-01,3.6342590196933515,
2020-05-08,3.3650045465191445,
2020-05-15,3.723141963115917,
2020-05-22,3.376163174053845,
2020-05-29,3.9638803697126463,4.4
2020-06-05,4.357776763322989,
2020-06-12,3.8645454983004996,
2020-06-19,5.268550680357766,
2020-06-26,5.137482898542744,4.8
2020-07-03,4.791999965952822,
2020-07-10,5.011189149129849,
2020-07-17,4.687911237790452,
2020-07-24,5.2176262811777905,
2020-07-31,3.839054886074332,4.8
2020-08-07,4.868954266527141,
2020-08-14,3.8406646276716416,
2020-08-21,5.327450098879604,
2020-08-28,5.416061253703768,5.6
2020-09-04,5.322211422600857,
2020-09-11,5.939677862234198,
2020-09-18,5.671478281292109,
2020-09-25,5.872536877337545,6.9
2020-10-02,5.898556909719224,
2020-10-09,6.46579342926951,
2020-10-16,6.211090641275681,
2020-10-23,6.244733304829067,
2020-10-30,7.233133980741112,6.9
2020-11-06,7.305906131748813,
2020-11-13,7.146467452320076,
2020-11-20,6.168156064112745,
2020-11-27,5.761928545134735,7.0
2020-12-04,5.910520746633459,
2020-12-11,5.792287570592927,
2020-12-18,5.6694422011064685,
2020-12-25,6.324795167290759,7.3
2021-01-01,5.5024093000004894,
2021-01-08,5.361498418748484,
2021-01-15,6.203882832091862,
2021-01-22,5.870224191977844,
2021-01-29,6.373833756223837,
2021-02-05,5.159831068990952,
2021-02-12,5.8948636902383384,
2021-02-19,5.558047304972014,
2021-02-26,6.072391055092331,
2021-03-05,5.674182430248792,
2021-03-12,6.538704559878715,
2021-03-19,5.960050756436167,
2021-03-26,6.702567255755335,14.1
2021-04-02,6.313703013517319,
2021-04-09,6.617056285890229,
2021-04-16,6.597983227274332,
2021-04-23,6.800831759490791,
2021-04-30,6.467727122124125,9.8
2021-05-07,6.59377974094228,
2021-05-14,6.903283947809218,
2021-05-21,6.153572823908991,
2021-05-28,7.464119912414505,8.8
2021-06-04,6.444429737313403,
2021-06-11,7.395726850132574,
2021-06-18,6.886836518217965,
2021-06-25,7.412262904039556,8.3
2021-07-02,7.369308709760412,
2021-07-09,7.147994508538426,
2021-07-16,7.024846980901442,
2021-07-23,7.480285523676283,
2021-07-30,6.972398683269161,6.4
2021-08-06,6.95923413307723,
2021-08-13,6.977284673815186,
2021-08-20,7.867149935177949,
2021-08-27,6.9211790570825595,5.3
2021-09-03,6.346163955596825,
2021-09-10,6.813461279691401,
2021-09-17,6.0777064334515645,
2021-09-24,6.494203772716808,3.1
2021-10-01,5.719286736361517,
2021-10-08,6.2222783792595795,
2021-10-15,6.339942274707264,
2021-10-22,5.475730689281287,
2021-10-29,4.856172273362863,3.5
2021-11-05,5.552585007613796,
2021-11-12,3.770723937493258,
