Date,Nowcast值,规模以上工业增加值:当月同比
2020-01-03,4.9304200110320755,
2020-01-10,5.054619312921002,
2020-01-17,4.827157496951323,
2020-01-24,4.325572645400442,
2020-01-31,3.921345276054149,
2020-02-07,3.7300165500332767,
2020-02-14,5.339737761660711,
2020-02-21,4.7953248038177945,
2020-02-28,2.555756780141377,
2020-03-06,0.761784861283795,
2020-03-13,0.8086418340824428,
2020-03-20,0.7172656121486698,
2020-03-27,1.3321892236550856,-1.1
2020-04-03,2.0234476708754405,
2020-04-10,3.736847360769448,
2020-04-17,4.404644536657538,
2020-04-24,4.649772068369593,3.9
2020-05-01,4.031598990495381,
2020-05-08,3.9551091625582004,
2020-05-15,3.5808013791441837,
2020-05-22,3.3577303587878613,
2020-05-29,5.365301511093305,4.4
2020-06-05,5.396308086147157,
2020-06-12,5.356902886140738,
2020-06-19,5.024190727692577,
2020-06-26,5.064293908486797,4.8
2020-07-03,5.714859990305499,
2020-07-10,5.691095422775945,
2020-07-17,6.007510803317071,
2020-07-24,5.349296852751064,
2020-07-31,5.709505524010548,4.8
2020-08-07,6.269806116094756,
2020-08-14,5.464403947178122,
2020-08-21,5.139396707988368,
2020-08-28,5.675217705180422,5.6
2020-09-04,5.931844560536588,
2020-09-11,5.848698613983222,
2020-09-18,5.9305777458837605,
2020-09-25,6.725573042694805,6.9
2020-10-02,6.673145426740197,
2020-10-09,7.218790692993213,
2020-10-16,6.793941680249297,
2020-10-23,6.472256582180048,
2020-10-30,5.62637735986376,6.9
2020-11-06,5.0319095873847886,
2020-11-13,5.409544613171471,
2020-11-20,6.1287462721538475,
2020-11-27,6.6050812989016805,7.0
2020-12-04,6.868654513191712,
2020-12-11,6.787080764101237,
2020-12-18,6.400693320903056,
2020-12-25,6.823251706747175,7.3
2021-01-01,6.580971515794667,
2021-01-08,7.40074809307207,
2021-01-15,6.6306894822608955,
2021-01-22,6.362314199359462,
2021-01-29,7.28768882349312,
2021-02-05,6.919416908780977,
2021-02-12,5.999657511886683,
2021-02-19,6.802179556216526,
2021-02-26,6.860816449724401,
2021-03-05,7.839014330459724,
2021-03-12,7.566256820112951,
2021-03-19,7.850529702049474,
2021-03-26,8.374769059196742,14.1
2021-04-02,8.962063007644831,
2021-04-09,8.549214542179735,
2021-04-16,7.857635388243846,
2021-04-23,8.665564998893004,
2021-04-30,8.496694321286746,9.8
2021-05-07,9.085505841312916,
2021-05-14,9.381604388366053,
2021-05-21,9.365918528309749,
2021-05-28,9.46655898529318,8.8
2021-06-04,9.695596392694878,
2021-06-11,9.020335406750583,
2021-06-18,9.90792030276176,
2021-06-25,9.893350612923307,8.3
2021-07-02,9.727099845240815,
2021-07-09,9.219954959438173,
2021-07-16,8.876001812002453,
2021-07-23,8.420146266198575,
2021-07-30,7.54340274437215,6.4
2021-08-06,6.656313159244695,
2021-08-13,6.038775063797745,
2021-08-20,5.315134252269003,
2021-08-27,4.944854268712339,5.3
2021-09-03,5.9121954295503425,
2021-09-10,6.11454024532584,
2021-09-17,6.6848262214402485,
2021-09-24,6.826862597094246,3.1
2021-10-01,6.031779327709989,
2021-10-08,4.6461738091266565,
2021-10-15,4.688351636906189,
2021-10-22,3.432127434027752,
2021-10-29,1.838232944638357,3.5
2021-11-05,2.658903206037704,
2021-11-12,2.838863361368208,
2021-11-19,4.21244337774865,
2021-11-26,4.392428429348367,3.8
2021-12-03,5.687915697162266,
2021-12-10,5.564703458468528,
2021-12-17,5.936347333609529,
2021-12-24,6.1362499632011405,
2021-12-31,7.388269886394326,4.3
2022-01-07,6.899595378446568,
2022-01-14,4.977469173608125,
2022-01-21,4.717636443293544,
2022-01-28,3.954211897179224,
2022-02-04,3.825597407629005,
2022-02-11,2.920500418221872,
2022-02-18,3.6310147835643884,
2022-02-25,5.248985401279423,
2022-03-04,4.775597564477854,
2022-03-11,5.13918269369483,
2022-03-18,4.766970940761099,
2022-03-25,3.2272730393638365,5.0
2022-04-01,2.4322042976625213,
2022-04-08,2.5312661282427196,
2022-04-15,3.3302851991554663,
2022-04-22,3.9774694796997014,
2022-04-29,3.319041890072622,-2.9
2022-05-06,2.980863476013027,
2022-05-13,2.4954521665600913,
2022-05-20,2.4723843339997797,
2022-05-27,2.4254527127000496,0.7
2022-06-03,2.69691456740298,
2022-06-10,3.289158156773346,
2022-06-17,4.340195391455253,
2022-06-24,3.3932711880505977,3.9
2022-07-01,4.93082131690527,
2022-07-08,5.666443869352458,
2022-07-15,4.1334999214838755,
2022-07-22,3.67944558967474,
2022-07-29,3.3037166412122043,3.8
2022-08-05,4.042637557412421,
2022-08-12,4.18048693371184,
2022-08-19,3.3817436198937925,
2022-08-26,2.9459214748274936,4.2
2022-09-02,2.321424455799544,
2022-09-09,2.3494305034756073,
2022-09-16,2.0381152426072826,
2022-09-23,2.2395858315679464,
2022-09-30,2.5888655485348764,6.3
2022-10-07,2.381098110107915,
2022-10-14,3.4327340489660667,
2022-10-21,4.11674776688797,
2022-10-28,5.326945742174845,5.0
2022-11-04,4.774477065213347,
2022-11-11,4.753443816292187,
2022-11-18,3.7103173843264994,
2022-11-25,3.122343999220006,2.2
2022-12-02,3.1998056860778097,
2022-12-09,3.1907226804027937,
2022-12-16,2.1301622006027676,
2022-12-23,1.536829776040956,
2022-12-30,0.7381926123390121,1.3
2023-01-06,0.4340997690173243,
2023-01-13,-0.17416717998340214,
2023-01-20,-0.09905586790452592,
2023-01-27,-0.5022135635262277,
2023-02-03,0.34107024619340276,
2023-02-10,-0.12921458990878865,
2023-02-17,0.9123619187140521,
2023-02-24,1.2523047503717373,
2023-03-03,2.2965233948394723,
2023-03-10,3.357341321883818,
2023-03-17,3.887110666644282,
2023-03-24,3.99007736721126,
2023-03-31,4.0853450201695924,3.9
2023-04-07,4.428543763832423,
2023-04-14,4.666206091522113,
2023-04-21,3.77652746462373,
2023-04-28,4.0693055338350845,5.6
2023-05-05,4.1572464767416,
2023-05-12,4.925933559780629,
2023-05-19,4.788613173420677,
2023-05-26,5.415761286300042,3.5
2023-06-02,5.6172198179738535,
2023-06-09,5.275372375897891,
2023-06-16,5.28122668874572,
2023-06-23,5.061746399118391,
2023-06-30,4.599626725527261,4.4
2023-07-07,5.086450305598201,
2023-07-14,4.9008423599988316,
2023-07-21,4.347275821069681,
2023-07-28,5.239219702432089,3.7
2023-08-04,4.774189380012376,
2023-08-11,4.964214283069333,
2023-08-18,4.639789623403009,
2023-08-25,4.877837202040896,4.5
2023-09-01,5.130281073491891,
2023-09-08,5.143802974112445,
2023-09-15,4.464738756299605,
2023-09-22,4.85020100924796,
2023-09-29,6.157530674335182,4.5
2023-10-06,6.436702931780594,
2023-10-13,7.096429040859858,
2023-10-20,5.94590311893241,
2023-10-27,5.880222097198823,4.6
2023-11-03,5.380254483975004,
2023-11-10,3.8565811650501893,
2023-11-17,3.4360153870511567,
2023-11-24,4.121691860913893,6.6
2023-12-01,5.225759751727628,
2023-12-08,5.992826980119312,
2023-12-15,5.838763400067334,
2023-12-22,5.610726592161035,
2023-12-29,4.6701917740739285,6.8
2024-01-05,4.854988458999847,
2024-01-12,5.125112820536719,
2024-01-19,6.160418023054451,
2024-01-26,6.633886764257941,
2024-02-02,6.707076981245603,
2024-02-09,6.672096545799825,
2024-02-16,5.594212398656371,
2024-02-23,5.486509272137739,
2024-03-01,5.887586595088148,
2024-03-08,6.170362769540559,
2024-03-15,6.371682637563947,
2024-03-22,6.0360550499213526,
2024-03-29,7.310941648426942,4.5
2024-04-05,7.157702209805022,
2024-04-12,6.787927430355227,
2024-04-19,6.824335135578333,
2024-04-26,7.170414594459328,6.7
2024-05-03,6.63052747988974,
2024-05-10,7.133745316261548,
2024-05-17,7.059844553437433,
2024-05-24,6.4227488351155895,
2024-05-31,6.611836301688943,5.6
2024-06-07,5.4658712494101716,
2024-06-14,6.1497854641145375,
2024-06-21,4.759179205266974,
2024-06-28,6.736355553090685,5.3
2024-07-05,6.588376031342326,
2024-07-12,7.2275559611434685,
2024-07-19,6.030452532073545,
2024-07-26,5.662934389794255,5.1
2024-08-02,5.6278632942143965,
2024-08-09,6.160515036787003,
2024-08-16,6.024884049556658,
2024-08-23,5.717766126595168,
2024-08-30,5.560678856761045,4.5
2024-09-06,5.583635023656283,
2024-09-13,6.146436700515432,
2024-09-20,5.798272620035062,
2024-09-27,4.705723053416856,5.4
2024-10-04,6.13884363761964,
2024-10-11,7.037009481298247,
2024-10-18,4.707261946573281,
2024-10-25,5.5354742865233595,5.3
2024-11-01,5.915016391528011,
2024-11-08,6.087757412833777,
2024-11-15,6.0285527948458055,
2024-11-22,5.541612577593738,
2024-11-29,6.359989806214679,5.4
2024-12-06,5.771648284623577,
2024-12-13,5.6419258606132505,
2024-12-20,5.795369044953432,
2024-12-27,5.335854228558664,6.2
2025-01-03,5.520542573155937,
2025-01-10,6.012868251893162,
2025-01-17,5.765202015406181,
2025-01-24,5.060044069922451,
2025-01-31,3.2981754462802373,
2025-02-07,5.262703576195812,
2025-02-14,4.6278114724451616,
2025-02-21,5.775803644684741,
2025-02-28,6.327264918904119,
2025-03-07,5.867513318402658,
2025-03-14,6.226558689857697,
2025-03-21,6.683920855964846,
2025-03-28,6.430831389428175,7.7
2025-04-04,6.818166101215373,
2025-04-11,6.019837833272227,
2025-04-18,5.5749524220408615,
2025-04-25,5.760677839276221,6.1
2025-05-02,5.642517163238694,
2025-05-09,6.428919306207764,
2025-05-16,6.493114168875303,
2025-05-23,5.87642574267782,
2025-05-30,6.5493586098470775,5.8
2025-06-06,5.728776456519089,
2025-06-13,5.767102434497252,
2025-06-20,6.761565967688741,
2025-06-27,6.046450120800153,6.8
2025-07-04,6.110040040231884,
2025-07-11,5.95799639585016,
2025-07-18,5.480928663106021,
2025-07-25,5.4216322919949755,5.7
2025-08-01,5.792760341601316,
2025-08-08,5.440021959818101,
2025-08-15,5.573377138860726,
2025-08-22,6.499552613284809,
2025-08-29,5.588762959176537,5.2
2025-09-05,5.4253205220503125,
2025-09-12,6.26405791905195,
2025-09-19,6.796101086893522,
2025-09-26,6.834951619829694,6.5
2025-10-03,5.818254264818485,
2025-10-10,6.507518656997714,
2025-10-17,6.974486751534954,
2025-10-24,6.530216889391464,
2025-10-31,6.149366386289717,
